"公司","法人","电话","邮箱","地址"
"深圳丽之健电子科技有限公司","吕万亮","18126130588","904328567@qq.com","深圳市福田区莲花街道狮岭社区商报路7号天健创业大厦817"
"深圳市世纪明亮科技有限公司","刘健伟","0755-25911577","hr@szsjml.com","深圳市福田区园岭街道八卦三路88号荣生大厦701A室"
"深圳市朝上科技有限责任公司","徐涵欧","18576610121","info@upwardtech.cn","深圳市福田区华强北街道福强社区深南中路2070号中电广场大厦3层302、303房"
"深圳市科视通电子科技有限公司","林清吉","0755-28300139","lx@kstmicro.com","深圳市福田区华强北街道华航社区华富路1004号南光大厦308"
"深圳市众创空间科技有限公司","刘海帆","13652350580","466108528@qq.com","深圳市龙华区福城街道茜坑社区鸿创科技中心6栋1204"
"深圳那么艺术科技有限公司","韩卓","0755-23949597","1057451791@qq.com","深圳市福田区福保街道福保社区福田保税区市花路3号花样年.福年广场B栋115"
"深圳市华鹏辉科技有限公司","张道辉","0755-83221126","249454388@qq.com","深圳市福田区莲花街道紫荆社区红荔西路7001号华茂欣园丹桂阁、银杏阁丹桂阁21D"
"深圳市全通智能信息技术有限公司","李建宇","18025852105","649149229@qq.com","深圳市福田区沙头街道天安社区泰然四路26号泰然科技园劲松大厦5E61"
"深圳市千牛云科技有限公司","叶惠东","0755-25161010","caiwu@rthbo.com","深圳市福田区梅林街道梅都社区中康路136号深圳新一代产业园4栋18层1803"
"深圳市排排网投资管理股份有限公司","李春瑜","0755-88779875","hr@simuwang.com","深圳市福田区沙头街道翠湾社区新洲南路东方明珠科技大厦308栋B座6012"
"深圳市量子数据科技有限公司","钟文青","13602609901","25361264@qq.com","深圳市福田区福保街道石厦社区石厦北二街西新天世纪商务中心C座C3112"
"深圳市正鸿泰科技有限公司","蒲研","17328774680","melinda@hontekchina.com","深圳市福田区沙头街道天安社区深南路与广深高速公路交汇处东南侧大庆大厦三十三层33A"
"深圳市典拓软件有限公司","谢丰光","13724363518","494035852@qq.com","深圳市福田区沙头街道天安社区泰然六路泰然科技园213栋七层7C29F"
"中际建设（深圳）有限公司",,,,
"深圳东道建设集团有限公司","郑泳","13243881388","sz1268@126.com","深圳市福田区福保街道福保社区槟榔道1号吉虹研发大楼B栋3层南区"
"深圳市正能量网络技术有限公司","宋川","13410445040","service@mail.bom.ai","深圳市福田区华强北街道荔村社区华强北路2006号桑达418栋4层A39室"
"深圳市银之杰科技股份有限公司","陈向军","0755-83562555","1078862381@qq.com","深圳市福田区沙头街道天安社区泰然五路天安数码城天祥大厦10A-1"
"深圳市新双华兴电子有限公司","郭志勇","0755-83476508","shuanghuaxing88@163.COM","深圳市福田区滨河路与香蜜湖路交汇处天安创新科技广场(二期)东座905(仅限办公)"
"深圳翰飞网络科技有限公司","马蕊","0755-82572181","105861599@qq.com","深圳市福田区沙头街道天安社区泰然四路4号天安数码时代大厦B座403A"
"深圳市大能创智半导体有限公司","余学超","0755-36991742","chenwd@spes-sz.com","深圳市南山区西丽街道松坪山社区朗山路11号同方信息港F栋2006"
"深圳市越升建筑集团有限公司","李晓彬","0755-82969909","1227567240@qq.com","深圳市福田区梅林街道新兴社区梅林路133号荔园阁二期B栋101-106号"
"深圳心品建设工程有限公司","刘德忠","0755-33552528","szxinpinzs@126.com","深圳市福田区沙头街道车公庙天吉大厦(F5.8厂房)8B2"
"深圳市三合成科技有限公司","姚金标","0755-82529111","3002826858@qq.com","深圳市福田区华强北街道华航社区华强北路2001号深纺大厦A座501"
"深圳埃格林医药有限公司","王卓","18688785126","kevin.wang@egpharm.com","深圳市福田区莲花街道福新社区福田区福中三路与鹏程一路交汇处西南广电金融中心33A"
"深圳市库博建筑设计事务所有限公司","向大庆","0755-83484758","8721453@qq.com","深圳市福田保税区深福保科技工业园A栋2B(仅限办公)"
"深圳市励科机电科技工程有限公司","丁鑫","0755-82945860","823591458@qq.com","深圳市福田区福田街道福山社区滨河大道5022号联合广场A座1307B"
"深圳市普雷德科技有限公司","王志科","0755-29484438","519989838@qq.com","深圳市福田区福田街道岗厦社区深南大道1003号东方新天地广场C座1604-C025"
"深圳市新威尔电子有限公司","韦京生","18033067132","liuxuan@neware.com.cn","深圳市福田区梅林街道梅都社区中康路128号卓越梅林中心广场(北区)3号楼1206"
"深圳和田建设集团有限公司","田喜波","13423715161","htzsjt@yeah.net","深圳市福田区莲花街道康欣社区北环大道7043号青海大厦25C"
"深圳市艾创电子有限公司","姚正沧","0755-83779684","ROGERZH@ITTON.COM.CN","深圳市福田区华强北宝华大厦A1208(仅限办公)"
"深圳市随晨科技有限公司","张汝杭","0755-88914934","suichen@gaeasmart.com","深圳市福田区沙头街道沙嘴社区沙嘴路8号红树华府A、B、C、D栋A栋3510"
"深圳永利洲科技有限公司","曾文豪","0755-86534552","1373506582@qq.com","深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场(南区)卓悦汇A2707"
"深圳市中和储能科技有限公司","康志伟","18923862957","34675727@qq.com","深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场(南区)卓悦汇B1108A"
"深圳市顶尚纺织股份有限公司","黄振亚","0755-89808393","topsomail@163.com","深圳市福田区沙头街道天安社区泰然四路泰然科技园210栋二层"
"深圳市康雨科技开发有限公司","曾丽娟","0755-88835586","shengling@szerp.cn","深圳市福田区园岭街道上林社区八卦四路2号先科机电大厦509D8"
"深圳市佳云物联科技有限公司","刘永才","18802070571","1029699094@qq.com","深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城(南区)T2栋4602"
"深圳市恒泰辰科技有限公司","丁霞","0755-83975665","dingxia@zhhtcc.cn","深圳市福田区红荔路群星广场A2916房"
"深圳钜联锚杆技术有限公司","曾庆义","0755-83936505","673968882@qq.com","深圳市福田区莲花街道康欣社区北环大道7043号青海大厦17B"
"深圳市天一兴业环保技术有限公司","关颂","13662670656","hr@szsjml.com","深圳市福田区园岭街道上林社区八卦三路88号荣生大厦409"
"深圳市和唐汇智科技有限公司","周继国","13715062966","287881916@qq.com","深圳市福田区园岭街道上林社区八卦路与泥岗路交界处又一居灯饰城4008"
"中建澳连装饰工程有限公司","易水云","0755-88377497","zjalzs_2021@163.com","深圳市福田区香蜜湖街道香岭社区侨香路3085号岭南大厦四层A区"
"深圳琼霸防水科技有限公司","张红","13807505848","272508471@qq.com","深圳市福田区梅林街道梅亭社区奥士达路4号奥士达大厦A栋四层420室"
"深圳国研建筑科技有限公司","庞观艺","0755-22907266","gyjkgf@163.com","深圳市福田区福保街道福保社区红棉道4号联星仓储楼3层305"
"妙智科技（深圳）有限公司","谢智衡","13699821250","252685518@qq.com","深圳市福田区福保街道福保社区市花路南侧长富金茂大厦1号楼1401、1402号"
"深圳开鸿数字产业发展有限公司","陈宇红","0755-66866563","kh_info@kaihong.com","深圳市福田区福保街道福保社区桃花路与槟榔道交汇处西北深九科技创业园3号楼308"
"深圳市爱丰达盛科技有限公司","张子奇","0755-82979888","jacky@acme-tech.cn","深圳市福田区香蜜湖街道香岭社区侨香路3089号恒邦置地大厦十二层1203B"
"深圳木子时代网络科技有限公司","胡云梅","13692725716","momo@higame.cn","深圳市福田区沙头街道天安社区泰然九路11号海松大厦A座1101"
"深圳沙帆信息科技有限公司",,,,
"睿达存储（深圳）有限公司","于明侠","15014058835","caiwu@agrade.com.cn","深圳市福田区福田街道岗厦社区彩田南路3002号彩虹新都彩虹大厦30C、30F"
